headword,pos,supplement,entry,meaning,ipa,example_sentence,translated_sentence
,,,shirt,"(えり付きの男物)シャツ,ワイシャツ  / 《米》(下着の)シャツ,はだ着(undershirt)",/ʃɜrt/,I bought a new shirt yesterday.,昨日新しいシャツを買った。
,,,dozen,"ダース,12個の組(《略》doz.,dz.)",/ˈdʌzən/,I bought a dozen eggs at the grocery store.,私はスーパーマーケットでダースの卵を買いました。
,,,similar,(大体において) 似ている / (図形が)相似の,/sɪˈmɪlər/,The two paintings have a similar style.,2つの絵は似たスタイルを持っています。
,,,skill,"〈U〉(…の)熟練,技量,腕《+in+名(doing)》  / 〈C〉特殊技術,特殊技能",/skɪl/,He showed his skill in playing the piano.,彼はピアノを弾くことで彼の技術を発揮した。
,,,no,"《名詞の前に置いて》一つも(一人も,少しも, 全く)…ない / 《補語につけて》決して…でない, 決して...ならない / 《省略文で》…なし;…お断り / 《話》少ししか(あまり)…ない",/nəʊ/,There is no way I can finish this task on time.,私にはこの仕事を時間内に終わらせる方法は一つもありません。
,,,park,"(町の中の)公園,庭園  / 自然公園  / 《米》(観覧席などで囲まれた)競技場;《英》サッカー場  / 《英》(貴族や大地主の邸宅の)広大な敷地,大庭園  / =parking lot  / 〈車〉‘を'駐車する  / 《話》(ある時間)〈物〉‘を'置く,預ける  / 駐車する",/pɑrk/,Let's go to the park.,公園に行こう。
,,,sky,"空,上空  / 《しばしば複数形で》空模様,天候,気候  / 《しばしば複数形で》天国,天  / 〈ボール〉‘を'高く打ち上げる",/skaɪ/,The sky was beautiful and blue.,空は美しく青く見えた。
,,,educate,"【動/他】を教育する, を教え込む",/ˈɛdʒʊˌkeɪt/,Parents have a responsibility to educate their children.,親は子供を教育する責任があります。
,,,slightly,"わずかに,少し  / (人・体格などが)ほっそりと;(建物などが)もろく",/slaɪtli/,I am slightly tired.,わずかに疲れています。
,,,slip,"【名/C】(木・紙の細長い) 小片, 伝票 / (継ぎ木・さし木来の) 切り枝 / 《a ( ) of …》きゃしゃ《な…》",/slɪp/,I slipped on the wet floor and fell.,私は濡れた床で滑って転んだ。
,,,elsewhere,"どこかよそに,ほかの所で(somewhere else)",/ˈɛls.wɛər/,I want to go elsewhere for my vacation.,私は休暇にどこか他の場所に行きたいです。
,,,employer,"雇い主,雇用者",/ɪmˈplɔɪər/,My employer is very supportive and understanding.,私の雇い主はとてもサポートしてくれるし理解もしてくれます。
,,,entirely,全く / 完全に / 全部で,/ɪnˈtaɪərli/,She was entirely focused on her work.,彼女は完全に仕事に集中していました。
,,,equally,"平等に,同等に;均一に,均等に  / 《文を修飾して》同時に",/ˈiːkwəli/,All employees are treated equally regardless of their position.,全ての従業員は、彼らの立場に関係なく平等に扱われます。
,,,specialist,専門家  / 専門医,/'spɛʃəlɪst/,I consulted a specialist about my health issues.,私は健康問題について専門家に相談しました。
,,,speech,"〈U〉話す力,話す能力・〈U〉話すこと,言葉・〈C〉演説,話,スピーチ・〈U〉(人の)話し方・〈C〉〈U〉(特定の)言語,方言,なまり・〈C〉(役者の)のせりふ・〈U〉話法",/spiːtʃ/,The Prime Minister gave a powerful speech.,首相は力強い演説を行ないました。
,,,stair,〈C〉(階段の一つの)段  / 《複数形で》階段,/stɛr/,I tripped and fell down the stair.,私はつまずいて階段から転げ落ちた。
,,,February,2月(《略》Feb.),/ˈfɛb.ruˌɛr.i/,The month of February is the second month of the year.,2月は1年の第2の月です。
,,,stimulate,"を刺激する / を励ます,を元気づける",/'stɪmjəˌleɪt/,Listening to music can stimulate creativity.,音楽を聴くことは創造性を刺激することができます。
,,,strategy,"〈U〉兵法,用兵学  / 〈C〉戦略,戦術  / 〈C〉(商売や政治上の)巧みな戦略;(ある目的に達するための)計画,方法",/ˈstrætədʒi/,Having a clear strategy is essential for success.,成功するためには明確な戦略が不可欠です。
,,,strongly,"強く,激しく  / 熱心に",/ˈstrɔŋ.li/,She strongly believes in the power of education.,彼女は教育の力を強く信じています。
,,,structural,構造の / 構成の / 組織の / 建築の,/ˈstrʌktʃərəl/,The structural integrity of the building was compromised after the earthquake.,地震後、建物の構造的な完全性が損なわれました。
,,,student,"学生,生徒  / (…の)研究者,学者《+of+名》",/'stu:dənt/,The student studies English every day.,毎日英語を勉強する学生です。
,,,when,"【副】いつ / (…する,…した)ところの / するとその時に /",/wɛn/,"When I wake up, I always drink a cup of coffee.",私が目を覚ますと、いつもコーヒーを一杯飲みます。
,,,tale,"(事実・伝説・架空の)話,物語  / 作り話,うそ  / 《複数形で》告げ口,中傷",/teɪl/,She told him a tale about a magical kingdom.,彼女は彼に魔法の王国についての話をした。
,,,gene,遺伝子,/dʒiːn/,The gene determines the traits passed down from parents to offspring.,遺伝子は親から子へ受け継がれる特徴を決定します。
,,,taxi,タクシー(taxicabの略)  / タクシーで行く  / 〈飛行機が〉(ゆっくりと地上・水上を)滑走する  / 〈飛行機〉‘に'誘導滑走させる,/ˈtæksi/,I took a taxi to the airport.,私は空港へタクシーで行きました。
,,,therapy,【名】療法,/ˈθɛrəpi/,She is undergoing therapy to help manage her anxiety.,彼女は不安を管理するために療法を受けています。
,,,theater,"〈C〉劇場, 映画館 / 《the》劇, 演劇 / (事件・活動の)現場,舞台",/ˈθiːtər/,I love going to the theater to watch plays.,私は劇場に行って演劇を観るのが大好きです。
,,,thus,"このように, かくかくして / したがって, だから",/ðʌs/,She studied hard and thus passed the exam.,彼女は一生懸命勉強したので、結果的に試験に合格した。
,,,tourist,"[観光]旅行者,観光客  / 観光旅行[用]の",/'tʊərɪst/,The tourist took a lot of photos during their trip.,旅行者は旅行中にたくさんの写真を撮りました。
,,,toy,"おもちゃ,玩具  / 小さくてちゃちな物  / 《名詞の前にのみ用いて》  / おもちゃの,愛玩用の  / (…を)いじくり回す,もてあそぶ《+with+名(doing)》",/tɔɪ/,My daughter loves to play with her new toy.,娘は新しいおもちゃで遊ぶのが大好きです。
,,,historian,"〈C〉歴史家, 歴史学者",/hɪˈstɔːriən/,The historian conducted extensive research on ancient civilizations.,その歴史家は古代文明について広範な研究を行った。
,,,host,"【名/C】《...の》大群,大勢《of》",/həʊst/,The host welcomed the guests to the party.,ホストはゲストをパーティーに歓迎しました。
,,,university,"{C}[総合]大学  / 〈U〉《the university》《集合的に》大学生,大学当局",/juːnɪˈvɜːrsəti/,I am studying at a university.,私は大学で勉強しています。
,,,web,【名/C】(インターネットの)ウェブ /  (クモの) 巣 /  (クモの巣のような)網状組織 / (アヒルなどの)水かき,/wɛb/,I found a great website for learning web development.,私はウェブ開発を学ぶための素晴らしいウェブサイトを見つけました。
,,,investor,投資者,/ɪnˈvɛstər/,The investor made a significant profit from their investments.,投資家は投資から大きな利益を得ました。
,,,weekend,週末(通例金曜日の夕方から日曜日の夜まで);週末休暇  / 週末の  / 《状態・場所を表す副詞[句]を伴って》週末を過ごす;週末旅行をする,/wiːkˈɛnd/,I'm looking forward to the weekend.,週末が楽しみです。
,,,weird,"変な,妙な / 起自然的な,不思議な,気味の悪い",/wɪrd/,That is a weird-looking cat.,それは変な見た目の猫です。
,,,January,"1月(《略》Ja.,Jan.)",/dʒæn(j)uːˈɛɹi/,I'm looking forward to the warm days of January.,1月の暖かい日を楽しみにしています。
,,,wife,"妻,女房,奥さん,夫人  / 《古》(特に結婚した)女",/waɪf/,My wife is a great cook.,私の妻は素晴らしい料理人です。
,,,July,"7月(《略》Jul.,Jy.)",/dʒuˈlaɪ/,This July marks the fifth anniversary of our company.,今年の7月で当社が5周年を迎える。
,,,June,"6月(《略》Je.,Jun.)",/dʒun/,The summer heat will start in June.,夏の暑さは６月から始まる。
,,,laboratory,"実験室,研究室(所),試験室(所);(薬品などの)製造所",/ləˈbɒrəˌtɔːri/,I spent the whole day working in the laboratory.,私は一日中実験室で働いていました。
,,,lawyer,【名/C】弁護士 / 法律学者,/ˈlɔɪər/,He hired a lawyer to help with his legal case.,彼は法的な問題を手伝ってもらうために弁護士を雇った。
,,,forty,"〈C〉(数の)40;40の記号(40,XLなど)  / 〈U〉40分;40歳  / 〈U〉《複数扱い》40人,40個  / 《the forties》(世紀の)40年代;《one's forties》(年齢の)40代  / 40の,40人の,40個の  / 《補語にのみ用いて》40歳の(で)",/'fɔːrti/,I have forty apples.,私はりんごを40個持っています。
,,,member,"(集団の)一員,会員,メンバー《+of+名》  / 《またM-》国会議員  / (数式の)項,辺  / 《文》身体の一部;(特に)手,足  / 《遠回しに》男根",/'mɛmbər/,She is a valuable member of our team.,彼女は私たちのチームの貴重な一員です。
,,,officer,"公務員,役人(会社などの)役員,幹部  / 将校,士官  / (商船の)高級船員;船長(master)  / 警官,巡査(policeman)",/ˈɒfɪsər/,The police officer arrested the suspect.,警察官は容疑者を逮捕した。
,,,oil,"〈U〉〈C〉油;油状物  / =petroleum  / 《複数形で》=oil paint  / =oil painting  / …‘に'油を塗る,油を引く,油を差す",/ɔɪl/,I need to change the oil in my car.,私は車のオイルを交換する必要があります。
,,,outside,"外側,外部,外面  / 外側の,外部の  / 外部からの  / ごくわずかな,万が一の  / 最大限の  / 外側に,外へ)に,で)  / …を外に)で,の)  / …の畔囲を越えて  / 《おもに米》…以外には",/ˌaʊtˈsaɪd/,He looked out the window outside.,彼は窓の外を見た。
,,,constantly,"絶えず , しきりに / (規則的に)しばしば,たびたび",/'kɒnstəntli/,He is constantly checking his phone.,彼は常に携帯電話をチェックしています。
